time,open,high,low,close,volume
2026-01-05 17:00:00+00:00,1.17148,1.17198,1.17101,1.17144,6496
2026-01-05 18:00:00+00:00,1.17145,1.17254,1.17134,1.17251,3974
2026-01-05 19:00:00+00:00,1.17252,1.17288,1.17222,1.17272,4138
2026-01-05 20:00:00+00:00,1.17268,1.17288,1.17238,1.17248,2577
2026-01-05 21:00:00+00:00,1.17248,1.17265,1.17196,1.17216,1631
2026-01-05 22:00:00+00:00,1.17206,1.17232,1.17188,1.1719,440
2026-01-05 23:00:00+00:00,1.17191,1.17218,1.17128,1.17146,1137
2026-01-06 00:00:00+00:00,1.17146,1.1717,1.17106,1.17168,3183
2026-01-06 01:00:00+00:00,1.17168,1.17254,1.17122,1.17254,4662
2026-01-06 02:00:00+00:00,1.17256,1.1738,1.17222,1.17374,3119
2026-01-06 03:00:00+00:00,1.17374,1.17384,1.17326,1.17346,2799
2026-01-06 04:00:00+00:00,1.17347,1.17356,1.17315,1.17338,2457
2026-01-06 05:00:00+00:00,1.17337,1.1737,1.17273,1.17288,2828
2026-01-06 06:00:00+00:00,1.1729,1.17372,1.17286,1.17362,3029
2026-01-06 07:00:00+00:00,1.1736,1.17429,1.17259,1.17291,4927
2026-01-06 08:00:00+00:00,1.1729,1.1739,1.17261,1.17286,6632
2026-01-06 09:00:00+00:00,1.17286,1.1729,1.1708,1.17133,6945
2026-01-06 10:00:00+00:00,1.17132,1.17172,1.17082,1.17128,4756
2026-01-06 11:00:00+00:00,1.17126,1.17131,1.1705,1.17062,4381
2026-01-06 12:00:00+00:00,1.17062,1.17122,1.16972,1.17014,5267
2026-01-06 13:00:00+00:00,1.17014,1.17137,1.16975,1.1711,7498
2026-01-06 14:00:00+00:00,1.1711,1.17176,1.16992,1.17092,8688
2026-01-06 15:00:00+00:00,1.17092,1.17092,1.1684,1.16953,10993
2026-01-06 16:00:00+00:00,1.16953,1.16984,1.16859,1.16881,6720
2026-01-06 17:00:00+00:00,1.16881,1.17008,1.1687,1.17007,3923
2026-01-06 18:00:00+00:00,1.17008,1.17022,1.1687,1.16882,4656
2026-01-06 19:00:00+00:00,1.16884,1.16912,1.1684,1.16897,5151
2026-01-06 20:00:00+00:00,1.16898,1.16932,1.16866,1.1687,3355
2026-01-06 21:00:00+00:00,1.16869,1.1689,1.16846,1.16888,1414
2026-01-06 22:00:00+00:00,1.16865,1.1689,1.16852,1.1689,487
2026-01-06 23:00:00+00:00,1.1689,1.16906,1.16868,1.16872,954
2026-01-07 00:00:00+00:00,1.16874,1.16943,1.16854,1.16918,4101
2026-01-07 01:00:00+00:00,1.16917,1.17006,1.169,1.16958,4701
2026-01-07 02:00:00+00:00,1.16958,1.17027,1.16953,1.16963,2841
2026-01-07 03:00:00+00:00,1.16962,1.17003,1.16961,1.16986,2248
2026-01-07 04:00:00+00:00,1.16987,1.17022,1.1691,1.16912,3745
2026-01-07 05:00:00+00:00,1.16912,1.16944,1.16909,1.16931,2998
2026-01-07 06:00:00+00:00,1.16932,1.16998,1.16922,1.16976,2867
2026-01-07 07:00:00+00:00,1.16976,1.1699,1.16786,1.16828,5287
2026-01-07 08:00:00+00:00,1.16826,1.16874,1.16729,1.16859,6507
2026-01-07 09:00:00+00:00,1.16858,1.1687,1.16813,1.16846,4997
2026-01-07 10:00:00+00:00,1.16846,1.16938,1.16834,1.16886,5116
2026-01-07 11:00:00+00:00,1.16886,1.16926,1.1685,1.16892,4489
2026-01-07 12:00:00+00:00,1.16893,1.16913,1.16811,1.16878,4747
2026-01-07 13:00:00+00:00,1.16878,1.16948,1.16825,1.16917,7127
2026-01-07 14:00:00+00:00,1.16916,1.16984,1.16871,1.1697,7682
2026-01-07 15:00:00+00:00,1.1696,1.16988,1.168,1.16902,14143
2026-01-07 16:00:00+00:00,1.16902,1.16932,1.16822,1.16893,6002
2026-01-07 17:00:00+00:00,1.16892,1.16949,1.16862,1.16879,4740
2026-01-07 18:00:00+00:00,1.1688,1.16904,1.16824,1.1683,3616
2026-01-07 19:00:00+00:00,1.16831,1.16854,1.16786,1.16824,3979
2026-01-07 20:00:00+00:00,1.16824,1.16838,1.16789,1.16789,2776
2026-01-07 21:00:00+00:00,1.16789,1.16792,1.16738,1.16759,1382
2026-01-07 22:00:00+00:00,1.16751,1.16782,1.16751,1.16775,341
2026-01-07 23:00:00+00:00,1.16776,1.16778,1.1675,1.16769,769
2026-01-08 00:00:00+00:00,1.1677,1.16781,1.16758,1.16758,2455
2026-01-08 01:00:00+00:00,1.16756,1.16781,1.16728,1.16748,3192
2026-01-08 02:00:00+00:00,1.16748,1.16807,1.16728,1.16804,2906
2026-01-08 03:00:00+00:00,1.16802,1.16828,1.1679,1.168,2162
2026-01-08 04:00:00+00:00,1.168,1.16812,1.1678,1.16804,1954
2026-01-08 05:00:00+00:00,1.16804,1.1683,1.16775,1.16825,2726
2026-01-08 06:00:00+00:00,1.16824,1.1683,1.16748,1.16816,4456
2026-01-08 07:00:00+00:00,1.16816,1.1683,1.1677,1.16778,4576
2026-01-08 08:00:00+00:00,1.1678,1.1679,1.1669,1.16711,5643
2026-01-08 09:00:00+00:00,1.16709,1.1677,1.16693,1.16768,4688
2026-01-08 10:00:00+00:00,1.16768,1.1682,1.16758,1.16799,4440
2026-01-08 11:00:00+00:00,1.16798,1.16802,1.16753,1.16776,3348
2026-01-08 12:00:00+00:00,1.16776,1.16778,1.16697,1.16732,3837
2026-01-08 13:00:00+00:00,1.16733,1.16779,1.16583,1.16628,6897
2026-01-08 14:00:00+00:00,1.16627,1.16666,1.16563,1.16646,7701
2026-01-08 15:00:00+00:00,1.16646,1.16738,1.16608,1.16664,7208
2026-01-08 16:00:00+00:00,1.16665,1.16676,1.16524,1.16546,5799
2026-01-08 17:00:00+00:00,1.16545,1.16556,1.16438,1.16508,4797
2026-01-08 18:00:00+00:00,1.16506,1.16533,1.16448,1.16452,3418
2026-01-08 19:00:00+00:00,1.1645,1.16506,1.16426,1.16501,3346
2026-01-08 20:00:00+00:00,1.16502,1.16546,1.16498,1.16513,3507
2026-01-08 21:00:00+00:00,1.16512,1.16628,1.16507,1.16589,2627
2026-01-08 22:00:00+00:00,1.16574,1.16598,1.16568,1.16587,633
2026-01-08 23:00:00+00:00,1.16589,1.16622,1.16565,1.16581,824
2026-01-09 00:00:00+00:00,1.1658,1.1658,1.16535,1.16538,1935
2026-01-09 01:00:00+00:00,1.16536,1.16572,1.16484,1.16492,3684
2026-01-09 02:00:00+00:00,1.16493,1.16548,1.1646,1.16543,3211
2026-01-09 03:00:00+00:00,1.16544,1.16592,1.16538,1.16562,3208
2026-01-09 04:00:00+00:00,1.16562,1.1657,1.16519,1.16542,2111
2026-01-09 05:00:00+00:00,1.16542,1.16562,1.16501,1.16511,2271
2026-01-09 06:00:00+00:00,1.16512,1.16528,1.16484,1.1649,3281
2026-01-09 07:00:00+00:00,1.1649,1.16508,1.164,1.16508,4552
2026-01-09 08:00:00+00:00,1.16508,1.1653,1.16412,1.16492,5657
2026-01-09 09:00:00+00:00,1.16492,1.16503,1.16423,1.16426,3817
2026-01-09 10:00:00+00:00,1.16424,1.16468,1.1637,1.16467,3742
2026-01-09 11:00:00+00:00,1.16468,1.1647,1.16417,1.16461,3121
2026-01-09 12:00:00+00:00,1.16462,1.16462,1.16398,1.16414,4440
2026-01-09 13:00:00+00:00,1.16415,1.16608,1.16256,1.16452,16711
2026-01-09 14:00:00+00:00,1.1645,1.16526,1.163,1.16366,14921
2026-01-09 15:00:00+00:00,1.16364,1.1641,1.16182,1.16405,13107
2026-01-09 16:00:00+00:00,1.16406,1.16434,1.16282,1.16332,6785
2026-01-09 17:00:00+00:00,1.16332,1.16346,1.16276,1.16316,4984
2026-01-09 18:00:00+00:00,1.16318,1.164,1.1631,1.1634,3278
2026-01-09 19:00:00+00:00,1.16341,1.16389,1.16332,1.16348,3038
2026-01-09 20:00:00+00:00,1.16348,1.16379,1.16341,1.16347,1927
2026-01-09 21:00:00+00:00,1.16348,1.16368,1.16296,1.16364,1610
2026-01-11 22:00:00+00:00,1.1633,1.1635,1.16316,1.16332,540
2026-01-11 23:00:00+00:00,1.16336,1.16354,1.16231,1.16238,1050
2026-01-12 00:00:00+00:00,1.16237,1.16651,1.16217,1.16649,7873
2026-01-12 01:00:00+00:00,1.16649,1.16714,1.16556,1.16562,6631
2026-01-12 02:00:00+00:00,1.16562,1.16644,1.16538,1.16548,3666
2026-01-12 03:00:00+00:00,1.16547,1.16593,1.16547,1.16552,2391
2026-01-12 04:00:00+00:00,1.16553,1.16584,1.1653,1.16557,1954
2026-01-12 05:00:00+00:00,1.16559,1.16712,1.16558,1.16692,2939
2026-01-12 06:00:00+00:00,1.16691,1.16731,1.16643,1.16698,3545
2026-01-12 07:00:00+00:00,1.16698,1.16878,1.16686,1.1685,6848
2026-01-12 08:00:00+00:00,1.16848,1.16918,1.16759,1.16881,7107
2026-01-12 09:00:00+00:00,1.1688,1.16959,1.16812,1.16818,5276
2026-01-12 10:00:00+00:00,1.1682,1.16856,1.1676,1.16854,4467
2026-01-12 11:00:00+00:00,1.16855,1.16895,1.16756,1.16786,4353
2026-01-12 12:00:00+00:00,1.16786,1.16876,1.16772,1.16813,4872
2026-01-12 13:00:00+00:00,1.16814,1.16985,1.16779,1.16929,7508
2026-01-12 14:00:00+00:00,1.16928,1.1693,1.1674,1.16768,8823
